Density,CO,FA,ODH,DAS,FOS
1800.0,10.0,20.0,60.0,38.0,1.64
1800.0,20.0,20.0,60.0,38.0,1.65
1800.0,30.0,20.0,60.0,38.0,1.69
1800.0,10.0,25.0,60.0,38.0,1.65
1800.0,20.0,25.0,60.0,38.0,1.69
1800.0,30.0,25.0,60.0,38.0,1.69
1800.0,10.0,29.0,60.0,38.0,1.69
1800.0,20.0,29.0,60.0,38.0,1.69
1800.0,30.0,29.0,60.0,38.0,1.69
1800.0,10.0,20.0,90.0,38.0,1.56
1800.0,20.0,20.0,90.0,38.0,1.59
1800.0,30.0,20.0,90.0,38.0,1.61
1800.0,10.0,25.0,90.0,38.0,1.59
1800.0,20.0,25.0,90.0,38.0,1.61
1800.0,30.0,25.0,90.0,38.0,1.61
1800.0,10.0,29.0,90.0,38.0,1.61
1800.0,20.0,29.0,90.0,38.0,1.61
1800.0,30.0,29.0,90.0,38.0,1.61
1800.0,10.0,20.0,120.0,38.0,1.54
1800.0,20.0,20.0,120.0,38.0,1.56
1800.0,30.0,20.0,120.0,38.0,1.57
1800.0,10.0,25.0,120.0,38.0,1.56
1800.0,20.0,25.0,120.0,38.0,1.57
1800.0,30.0,25.0,120.0,38.0,1.57
1800.0,10.0,29.0,120.0,38.0,1.57
1800.0,20.0,29.0,120.0,38.0,1.57
1800.0,30.0,29.0,120.0,38.0,1.57
1937.46,18.33,36.12,202.0,45.0,1.4
1937.46,18.33,36.12,190.0,21.6,2.54
1937.46,18.33,36.12,162.0,45.0,1.33
1937.46,18.33,36.12,120.0,25.64,2.05
1937.46,18.33,36.12,50.0,9.62,6.54
1937.46,18.33,36.12,50.0,10.5,5.13
1937.46,18.33,36.12,60.0,34.6,2.32
1937.46,18.33,36.12,35.0,16.26,15.17
1937.46,18.33,36.12,90.0,23.19,1.82
1937.46,18.33,36.12,90.0,26.56,1.56
1937.46,18.33,36.12,90.0,26.56,1.56
1937.46,18.33,36.12,90.0,26.56,1.56
1937.46,18.33,36.12,202.0,41.29,1.99
1937.46,18.33,36.12,90.0,24.22,2.15
1800.0,30.0,35.0,30.0,26.0,2.202
1800.0,30.0,35.0,30.0,26.0,2.172
1800.0,30.0,35.0,30.0,26.0,2.233
1800.0,30.0,35.0,30.0,26.0,2.125
1800.0,30.0,35.0,30.0,26.0,2.09
1800.0,30.0,35.0,30.0,26.0,2.154
2100.0,8.0,36.0,30.0,26.0,1.389
2100.0,8.0,36.0,30.0,26.0,1.362
2100.0,8.0,36.0,30.0,26.0,1.401
2100.0,8.0,36.0,30.0,26.0,1.367
2100.0,8.0,36.0,30.0,26.0,1.323
2100.0,8.0,36.0,30.0,26.0,1.357
1800.0,10.0,20.0,60.0,38.0,1.64
1800.0,20.0,20.0,60.0,38.0,1.65
1800.0,30.0,20.0,60.0,38.0,1.69
1800.0,10.0,25.0,60.0,38.0,1.65
1800.0,20.0,25.0,60.0,38.0,1.69
1800.0,30.0,25.0,60.0,38.0,1.69
1800.0,10.0,29.0,60.0,38.0,1.69
1800.0,20.0,29.0,60.0,38.0,1.69
1800.0,30.0,29.0,60.0,38.0,1.69
1800.0,10.0,20.0,90.0,38.0,1.56
1800.0,20.0,20.0,90.0,38.0,1.59
1800.0,30.0,20.0,90.0,38.0,1.61
1800.0,10.0,25.0,90.0,38.0,1.59
1800.0,20.0,25.0,90.0,38.0,1.61
1800.0,30.0,25.0,90.0,38.0,1.61
1800.0,10.0,29.0,90.0,38.0,1.61
1800.0,20.0,29.0,90.0,38.0,1.61
1800.0,30.0,29.0,90.0,38.0,1.61
1800.0,10.0,20.0,120.0,38.0,1.54
1800.0,20.0,20.0,120.0,38.0,1.56
1800.0,30.0,20.0,120.0,38.0,1.57
1800.0,10.0,25.0,120.0,38.0,1.56
1800.0,20.0,25.0,120.0,38.0,1.57
1800.0,30.0,25.0,120.0,38.0,1.57
1800.0,10.0,29.0,120.0,38.0,1.57
1800.0,20.0,29.0,120.0,38.0,1.57
1800.0,30.0,29.0,120.0,38.0,1.57
2000.0,70.0,11.0,22.0,38.22633123689727,1.6936918429003023
2200.0,0.0,30.0,22.0,38.22633123689727,1.6936918429003023
1970.0,0.0,30.0,22.0,38.22633123689727,1.6936918429003023
1950.0,40.0,15.0,22.0,38.22633123689727,1.6936918429003023
1800.0,30.0,35.0,53.60598278335725,37.0,2.202
