Density,CO,FA,ODH,DAS,FOS
1800,10,20,60,38,1.64
1800,20,20,60,38,1.65
1800,30,20,60,38,1.69
1800,10,25,60,38,1.65
1800,20,25,60,38,1.69
1800,30,25,60,38,1.69
1800,10,29,60,38,1.69
1800,20,29,60,38,1.69
1800,30,29,60,38,1.69
1800,10,20,90,38,1.56
1800,20,20,90,38,1.59
1800,30,20,90,38,1.61
1800,10,25,90,38,1.59
1800,20,25,90,38,1.61
1800,30,25,90,38,1.61
1800,10,29,90,38,1.61
1800,20,29,90,38,1.61
1800,30,29,90,38,1.61
1800,10,20,120,38,1.54
1800,20,20,120,38,1.56
1800,30,20,120,38,1.57
1800,10,25,120,38,1.56
1800,20,25,120,38,1.57
1800,30,25,120,38,1.57
1800,10,29,120,38,1.57
1800,20,29,120,38,1.57
1800,30,29,120,38,1.57
1937.46,18.33,36.12,202,45,1.4
1937.46,18.33,36.12,190,21.6,2.54
1937.46,18.33,36.12,162,45,1.33
1937.46,18.33,36.12,120,25.64,2.05
1937.46,18.33,36.12,50,9.62,6.54
1937.46,18.33,36.12,50,10.5,5.13
1937.46,18.33,36.12,60,34.6,2.32
1937.46,18.33,36.12,35,16.26,15.17
1937.46,18.33,36.12,90,23.19,1.82
1937.46,18.33,36.12,90,26.56,1.56
1937.46,18.33,36.12,90,26.56,1.56
1937.46,18.33,36.12,90,26.56,1.56
1937.46,18.33,36.12,202,41.29,1.99
1937.46,18.33,36.12,90,24.22,2.15
1800,30,35,30,26,2.202
1800,30,35,30,26,2.172
1800,30,35,30,26,2.233
1800,30,35,30,26,2.125
1800,30,35,30,26,2.09
1800,30,35,30,26,2.154
2100,8,36,30,26,1.389
2100,8,36,30,26,1.362
2100,8,36,30,26,1.401
2100,8,36,30,26,1.367
2100,8,36,30,26,1.323
2100,8,36,30,26,1.357
1800,10,20,60,38,1.64
1800,20,20,60,38,1.65
1800,30,20,60,38,1.69
1800,10,25,60,38,1.65
1800,20,25,60,38,1.69
1800,30,25,60,38,1.69
1800,10,29,60,38,1.69
1800,20,29,60,38,1.69
1800,30,29,60,38,1.69
1800,10,20,90,38,1.56
1800,20,20,90,38,1.59
1800,30,20,90,38,1.61
1800,10,25,90,38,1.59
1800,20,25,90,38,1.61
1800,30,25,90,38,1.61
1800,10,29,90,38,1.61
1800,20,29,90,38,1.61
1800,30,29,90,38,1.61
1800,10,20,120,38,1.54
1800,20,20,120,38,1.56
1800,30,20,120,38,1.57
1800,10,25,120,38,1.56
1800,20,25,120,38,1.57
1800,30,25,120,38,1.57
1800,10,29,120,38,1.57
1800,20,29,120,38,1.57
1800,30,29,120,38,1.57
2000,70,11,22,,
2200,0,30,22,,
1970,0,30,22,,
1950,40,15,22,,
1800,30,35,,37,2.202
1800,30,35,,37,2.172
1800,30,35,,37,2.233
1800,30,35,,37,2.125
1800,30,35,,37,2.09
1800,30,35,,37,2.154
2100,8,36,,37,1.389
2100,8,36,,37,1.362
2100,8,36,,37,1.401
2100,8,36,,37,1.367
2100,8,36,,37,1.323
2100,8,36,,37,1.357
,0,38.56,90,30,1.16
,0,38.56,12,32.63,1.12
,0,38.56,25,30.54,1.09
,0,48.65,90,35,1.11
,0,48.65,12,41.42,1.13
,0,48.65,25,38.29,1.45
,13.97,27.93,90,25,1.1
,13.97,27.93,12,31.55,1.14
,13.97,27.93,25,26.57,1.45
,26.87,32.58,90,35,1.1
,26.87,32.58,12,37.04,1.14
,26.87,32.58,25,34.43,1.06
,26.89,22.25,90,20,1.11
,26.89,22.25,12,23.19,1.05
,26.89,22.25,25,25.37,1.14
,0,33.64,90,28.5,1.02
,0,33.64,12,28.19,1.1
,0,33.64,25,26.57,1.08
,0,31.4,90,25,1.11
,0,31.4,12,26.85,1.02
,0,31.4,25,26.57,1.04
,0,36.74,90,30,1.13
,0,36.74,12,32.63,1.09
,0,36.74,25,30.54,1.04
,0,33.4,90,28.5,1.06
,0,33.4,12,28.19,1.12
,0,33.4,25,26.57,1.07
,49.63,24.13,90,30,1.08
,49.63,24.13,12,32.63,1.12
,49.63,24.13,25,30.54,1.11
,100.03,19.74,90,30,1.14
,100.03,19.74,12,32.63,1.1
,100.03,19.74,25,34.43,1.1
207,0.19,36.67,120,30,2.331
189,0.15,34.21,120,30,1.78
175,0.06,33.18,120,30,1.515
1835,36,22,30,36,1.408
1835,36,22,30,36,1.332
1835,36,22,30,36,1.285
1835,36,22,30,36,1.402
1835,36,22,35,39,1.206
1835,36,22,35,39,1.152
1835,36,22,35,39,1.134
1835,36,22,35,39,1.203
1835,36,22,40,41,1.107
1835,36,22,40,41,1.052
1835,36,22,40,41,1.037
1835,36,22,40,41,1.105
204,53,28,35,37,1.11
204,53,28,35,37,1.11
204,53,28,35,38,0.94
203,28,31,35,37,1.2
203,28,31,42,37,1.1
218,45,26,40,38,1.08
202,56,23,41,37,1.2
,75,25,25,30,
,70,27,29,34,
,75,30,33,38,
,65,28,37,42,
,75,35,41,46,
,65,27,45,50,
1700,60,25,,,
1700,40,11,,,
2300,250,30,,,
2000,150,25,,,
,0.19,36.67,,30,
,0.15,34.21,,30,
,0.06,33.18,,30,
125,240,34,,,
192,96,35,,,
193,65,11,,,
184,5,3,,,
184,20,25,,,
184,17,10,,,
184,17,10,,,
184,17,10,,,
184,11,25,,,
221,75,25,84,60,
221,38,20,84,60,
265,0.1,30,84,60,
133,130,30,84,60,
255,3,35,84,60,
2427,1.08,23.1,,,
2410,1.28,49.61,,,
2350,0.35,46.45,,,
2470,1.43,23.6,,,
1450,1.95,52.34,,,
2221,3.98,42.25,,,
2381,8.41,52.82,,,
2491,0.92,46.9,,,
2360,4.44,50.89,,,
2551,2.32,46.22,,,
2220,4.08,35.27,,,
2470,8.53,39.27,,,
1501,1.76,31.03,,,
2420,1.37,28.91,,,
1270,2.55,16.21,,,
1631,10,30,,,
2235,10,30,,,
2019,80,22,,,
2702,9800,59,,,
1427,5,36.5,,,
2141,10,30,,,
2437,3500,46.1,,,
1835,20,222.4,,,
208,32,14,,,
199,13,37,,,
183,15,20,,,
225,34,10,,,
188,18,22,,,1.2
190,27,8,,,1.2
195,18,18,,,1.2
2294,3.1,39.4,,,1.2
2029,2.4,33,,,1.2
2274,3,39.1,,,1.2
2019,2.4,33.2,,,1.2
2233,2.9,36.8,,,1.2
2100,2.8,32.1,,,1.2
2223,2.9,36.4,,,1.2
1611,1.9,29.7,,,1.2
2050,2.8,32.9,,,1.2
1428,1.6,28.2,,,1.2
2090,2.9,34.3,,,1.2
1988,2.4,30.5,,,
2039,2.8,32.7,,,1.2
1835,1.7,30.2,,,1.2
,,,,,1.2
2100,75,25,60,35,
2100,75,25,70,33,
2100,75,25,80,32,
208,32,14,,,
200,13,37,,,
182,15,20,,,
225,34,10,,,
184,18,22,,,
190,27,8,,,
195,18,18,,,
2794,350,23,77,,
2886,800,32,77,,
2702,50,13,77,,
2702,410,25,77,,
2396,240,20,77,,
2773,990,35,77,,
2743,300,22,77,,
3171,1250,44,77,,
1988,45.1,29.5,,,
2498,135,30,,,
2498,150,28,,,
2315,150,31.5,,,
2284,130,32,,,
2447,127.5,29,,,1.21
1428,185.1,35,,,1.21
2498,176.8,31.3,,,6.81
188,2,15,,,1.41
226,2.7,41,,,2.49
,,,,,2.67
,,,,,1.42
,,,,,1.28
,,,,,1.15
,,,,,1.47
,,,,,
,,,,,
,,,,,
1937,18.33,36.12,,,
1466.04,8.18,23.03,15,,
1410.3,11.8,25.4,15,,
1417.17,4.69,20.46,15,,1.07
1439.31,12.15,19.52,15,,1.29
1562.9,15.69,29.57,15,,1.36
,,23.5,65,45,1.59
,,23.5,33,43,1.36
,,23.5,28,43,1.08
,,23.5,30,45,1.04
,,23.5,40,45,1.01
,,23.5,81.5,37.01,1.2
,,23.5,62.5,36.33,1.26
,,23.5,74,36.54,1.03
,,23.5,46,40,1.28
,,23.5,25,36,1.02
,,23.5,66,42,1
,,23.5,42,40,1
,,23.5,80,39.15,1.3
,,23.5,57,38.89,1
,,23.5,87,39.15,
1677,32,14,,,
1611,13,37,,,1.12
1522,15,20,,,
1692,34,10,,,
1571,18,22,,,3.45
1568,27,8,,,1.8
1613,18,18,,,1.37
1697,32,14,5,40,1.13
1697,32,14,10,40,0.94
1697,32,14,15,40,0.86
1697,32,14,20,40,0.82
1697,32,14,25,40,3.08
1697,32,14,30,40,2.05
1697,32,14,35,40,1.42
1697,32,14,35,10,0.96
1697,32,14,35,20,0.85
1697,32,14,35,30,0.8
1697,32,14,35,40,
1697,32,14,35,50,
1697,32,14,35,60,
830,20.73,36.62,150,31.64,
1430,15.48,39.72,150,31.64,
1618,8.89,42.02,150,31.64,
1771,0,37.43,150,31.64,
,12.1,31.5,,,
,12.9,28.9,,,
,31.4,27.6,,,
,74,26,,,
,19,29,,,
187,2,15,,,
226,2.1,41,,,
1988,45.1,29.5,,,
2498,135,30,,,
2498,150,28,,,
2314,150,31.5,,,
2284,130,32,,,
2518,127.5,29,,,
1427,185.1,35,,,
2518,176.8,31.3,,,
1790,0,38.56,,,
2440,0,48.65,,,
2260,13.97,27.93,,,
2290,26.87,32.58,,,
2380,26.89,22.25,,,
,,,,,
2500,50,35,150,,
2500,30,28,150,,
2300,14.5,24.6,150,,
2500,2000,40,150,,
1835,3.8,27,,,
1651,1.8,23,,,1.784
1876,4.1,30,,,1.378
1702,2.2,24,,,1.161
,91,22.4,60,40,1.335
,91,22.4,,40,1.13
,91,22.4,,40,1.098
,91,22.4,,40,1.15
,91,22.4,,40,1.1
,91,22.4,100,40,1.07
255,6.5,40,25,39,1.03
255,6.5,40,30,39,1.01
255,6.5,40,35,39,0.99
255,6.5,40,40,39,
255,6.5,40,45,39,
255,6.5,40,50,39,
2447,39,23.5,,,
2498,37,24,,,
2477,38.4,25.5,,,
2528,34,24.6,,,
2498,35,25,,,
2518,35.7,25.2,,,
2488,36.5,24.6,,,
1335,70,24,15,60,
1937,0,14,15,60,
1733,0,6.8,15,60,
1733,10,10,15,60,
1937,15.13,14,15,60,
1886,1,30,,,
1988,0,32,,,
2243,21.9,6.8,,,
2222,40,9.16,,,
2171,40,15,,,
2171,40,8.35,,,
2121,80,5.33,,,
2151,89,5.81,,,
2549,338,27.13,,,
1937,20,7,,,1.148
1203,170,14.8,,,1.16
1611,285,17.5,,,1.178
,27,13.68,,,1.198
,28.62,13.86,,,1.208
,30.17,14.06,,,1.155
,31.37,14.2,,,1.169
,32.61,14.36,,,1.185
,28.31,13.97,,,1.205
,30.01,14.16,,,1.215
,31.45,14.33,,,1.162
,32.7,14.47,,,1.176
,33.81,14.6,,,1.192
,29.64,14.26,,,1.212
,31.4,14.46,,,1.222
,32.91,14.63,,,1.169
,34.23,14.78,,,1.186
,35.39,14.92,,,1.199
,30.97,14.55,,,1.219
,32.81,14.75,,,1.229
,34.38,14.94,,,1.176
,35.76,15.1,,,1.194
,36.97,15.24,,,1.209
,32.11,14.83,,,1.226
,34.21,15.05,,,1.236
,35.87,15.24,,,0.25
,37.29,15.4,,,0.5
,38.56,15.55,,,0.74
2039,2,5,6,45,1.01
2039,2,15,6,45,1.35
2039,2,25,6,45,0.41
2039,2,35,6,45,0.7
2039,2,45,6,45,0.98
2039,5,5,6,45,1.28
2039,5,15,6,45,1.65
2039,5,25,6,45,0.65
2039,5,35,6,45,0.98
2039,5,45,6,45,1.3
2039,10,5,6,45,1.63
2039,10,15,6,45,2.04
2039,10,25,6,45,1.06
2039,10,35,6,45,1.48
2039,10,45,6,45,1.85
2039,20,5,6,45,2.24
2039,20,15,6,45,2.69
2039,20,25,6,45,0.2
2039,20,35,6,45,0.4
2039,20,45,6,45,0.8
2039,5,0,6,45,0.25
2039,10,0,6,45,0.51
2039,20,0,6,45,0.77
2039,2,5,6,45,1.07
2039,2,15,6,45,1.42
2039,2,25,6,45,0.43
2039,2,35,6,45,0.73
2039,2,45,6,45,1.03
2039,5,5,6,45,1.34
2039,5,15,6,45,1.68
2039,5,25,6,45,0.69
2039,5,35,6,45,1.04
2039,5,45,6,45,1.36
2039,10,5,6,45,1.69
2039,10,15,6,45,2.05
